frmAudioEngine.frmAudioEngine	Audio Engine	Engine de áudio
frmAudioSettings.cmdMatrixAdd	Add	Adicionar
frmAudioSettings.lblMatrixPreset	Preset	Perfil
frmAudioSettings.mtxLabel	UiMatrixLabel1	UiMatrixLabel1
frmAudioSettings.lblMasterR	Master R	Master R
frmAudioSettings.mtxChannelMatrix	UiMatrix1	UiMatrix1
frmAudioSettings.lblHR	Headphones R	Fone R
frmAudioSettings.lblMasterL	Master L	Master L
frmAudioSettings.lblHL	Headphones L	Fone L
frmAudioSettings.cmdResetEQ	Reset	Redefinir
frmAudioSettings.chkEnableEQ	Enable EQ	Ativar EQ
frmAudioSettings.chkEnableGate	Enable Noise Gate	Ativar Noise Gate
frmAudioSettings.lblGateThreshold	Threshold	Limite
frmAudioSettings.cmdGateReset	Reset	Redefinir
frmAudioSettings.lblDB	dBFS	dBFS
frmAudioSettings.lblPost	Post	Pós
frmAudioSettings.UiMeterLabel1	UiMeterLabel1	UiMeterLabel1
frmAudioSettings.lblRightPeak	-Inf	-Inf
frmAudioSettings.lblLeftPeak	-Inf	-Inf
frmAudioSettings.vRight	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.vLeft	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.lblPre	Pre	Pré
frmAudioSettings.lblPreRightPeak	-Inf	-Inf
frmAudioSettings.lblPreLeftPeak	-Inf	-Inf
frmAudioSettings.vRightPre	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.vLeftPre	VuMeterVertical1	VuMeterVertical1
frmAudioSettings.chkEnableCompressor	Enable Compressor	Ativar compressor
frmAudioSettings.cmdResetCompressorRatio	Reset	Redefinir
frmAudioSettings.lblCompressor	Ratio	Razão
frmAudioSettings.lblCompressorThreshold	Threshold	Limite
frmAudioSettings.cmdResetThreshold	Reset	Redefinir
frmAudioSettings.chkVisible	Visible in Mixer	Visível no mixer
frmAudioSettings.cmdClose	Close	Fechar
frmAudioSettings.tMenu.General	General	Geral
frmAudioSettings.tMenu.Plugins	Plugins	Plugins
frmAudioSettings.tMenu.Compressor	Compressor	Compressor
frmAudioSettings.tMenu.Noise Gate	Noise Gate	Noise gate
frmAudioSettings.tMenu.Channel Mixer	Channel Mixer	Mixer de canal
frmAudioSettings.tMenu.Channel Matrix	Channel Matrix	Mixer de matriz
frmAudioSettings.cmdResetDynamics	Reset	Redefinir
frmAudioSettings.lblDynAttack	Attack milliseconds	milissegundos de ataque
frmAudioSettings.lblDynLowThreshold	Low Threshold	Limite baixo
frmAudioSettings.lblDynLow	Low	Baixo
frmAudioSettings.lblDynHigh	High	Alto
frmAudioSettings.chkEnableDynamics	Enable Dynamics	Ativar dynamics
frmBlockedFilterList.frmBlockedFilterList	DirectShow Blocked Filter List	Lista de filtros bloqueados do DirectShow
frmBlockedFilterList.cmdCancel	Cancel	Cancelar
frmBlockedFilterList.lblInfo	Any filters checked in the list below will not be used by vMix.	Qualquer filtro marcado na lista abaixo não será usado pelo vMix.
frmColourSelect.frmColourSelect	Colour Select	Seleção de cor
frmColourSelect.lblInfo	Click on a neutral colour from the image below. A neutral colour should reflect all light evenly (a grey sheet of cardboard, for example)	Clique em uma cor neutra da imagem abaixo. A cor neutra reflete a luz uniformemente (uma folha de papel cinza, por exemplo)
frmError.frmError	vMix Error	Erro do vMix
frmError.lblMessage	Error Message	Mensagem de erro
frmError.cmdSendErrorReport	Send Error Report	Enviar relatório de erro
frmError.cmdClose	Close	Fechar
frmfull.frmfull	Fullscreen	Fullscreen
frmInput.frmInput	Input Select	Seleção de input
frmInput.chkRTMPInstanceURL	URL includes App Instance	URL inclui Instância do App
frmInput.chkInterlaced	Video is Interlaced	Vídeo é entrelaçado
frmInput.chkImageSequence	Image Sequence	Sequência de imagens
frmInput.chkAlpha	Video contains Alpha Channel	Vídeo contém canal alfa
frmInput.lblRTMPMilliseconds	milliseconds	milissegundos
frmInput.lblRTMPBuffer	RTMP Buffer:	Buffer de RTMP:
frmInput.lblFlashResolution	Resolution:	Resolução:
frmInput.cmdClear	Clear	Limpar
frmInput.cmdBrowse	Browse	Procurar
frmInput.tAudio	Aud	Aud
frmInput.tImage	Img	Img
frmInput.tPhotos	Phot	Phot
frmInput.tPowerpoint	PPT	PPT
frmInput.tDVD	DVD	DVD
frmInput.tCapture	Cap	Cap
frmInput.chkCameraAudioEnabled	Audio Enabled	Áudio ativado
frmInput.chkCaptureInterlaced	Interlaced	Entrelaçado
frmInput.lblAudioInput	Audio Input:	Entrada de áudio:
frmInput.lblVideoFormat	Video Format:	Formato de vídeo:
frmInput.lblAudioFormat	Audio Format:	Formato de áudio:
frmInput.lblAudioDevice	Audio Device:	Dispositivo de áudio:
frmInput.chkVMR	Use VMR	Usar VMR
frmInput.lblCapture	Camera:	Câmera:
frmInput.lblSystem	Frame Rate:	Frame rate:
frmInput.lblInput	Input:	Entrada:
frmInput.lblResolution	Resolution:	Resolução:
frmInput.tNetwork	Desk	Desk
frmInput.lblDesktopCaptureWindowType	Window Capture Method	Método de captura de janela
frmInput.cmdLocalDesktopTab	Local Desktop Capture	Área de trabalho local
frmInput.cmdNDITab	NDI	NDI
frmInput.chkFEIM	FEIM	FEIM
frmInput.chkNDIBuffer	Increase Buffer Size	Aumentar o buffer
frmInput.chkNDIPSF	PsF	PsF
frmInput.chkAudioOnly	Audio Only	Somente áudio
frmInput.lnkNDI	http://NDI.NewTek.com/	http://NDI.NewTek.com/
frmInput.chkNDILowBandwidth	Low Bandwidth Mode	Baixa largura de banda
frmInput.tAudioInput	AuI	AuI
frmInput.chkMuteHeadphones	Mute in Headphones	Mutar no fone de ouvido
frmInput.lblAudioChannels	Audio Channels:	Canais de áudio:
frmInput.lblAudioAudioFormat	Audio Format:	Formato de áudio:
frmInput.lblAudioAudioDevice	Audio Device:	Dispositivo de áudio:
frmInput.tFlash	Fsh	Fsh
frmInput.tVideoDelay	Del	Del
frmInput.lblSaveCodec	Save Codec:	Salvar codec:
frmInput.lblSource	Source:	Fonte:
frmInput.lblSeconds	Seconds:	Segundos:
frmInput.lblVideoDelayResolution	Resolution:	Resolução:
frmInput.tTitle	Ttl	Ttl
frmInput.tColour	Col	Col
frmInput.rTransparent	Transparent	Transparente
frmInput.rColourBars	Colour Bars	Color bars
frmInput.rColour	Colour	Cor
frmInput.tVideoList	Lst	Lst
frmInput.chkListInterlaced	Selected video is interlaced	Vídeo selecionado é entrelaçado
frmInput.cmdClearVideoList	Clear	Limpar
frmInput.cmdRemove	Remove	Remover
frmInput.cmdRandomise	Shuffle	Embaralhar
frmInput.cmdAdd	Add	Adicionar
frmInput.tVirtualSet	Virt	Virt
frmInput.tRTSP	Strm	Strm
frmInput.lblSRTStreamID	Stream ID	ID do Stream
frmInput.lblSRTKeyLength	Key Length	Largura da chave
frmInput.lblSRTDecoderDelay	Decoder Delay (ms)	Atraso do decoder (ms)
frmInput.chkSRTHWDecoder	Use Hardware Decoder	Usar decodificador de hardware
frmInput.lblSRTPassPhrase	Passphrase	Frase de acesso
frmInput.lblSRTLatencyMs	Latency (ms)	Latência (ms)
frmInput.chkStreamLowLatency	Low Latency Mode	Modo de baixa latência
frmInput.lblStreamMilliseconds	milliseconds	milissegundos
frmInput.lblStreamBuffer	Buffer	Buffer
frmInput.lblStreamType	Stream Type	Tipo de stream
frmInput.lblStreamURL	URL	URL
frmInput.lblStreamPort	Port	Porta
frmInput.cmdClearStream	Clear	Limpar
frmInput.chkGPUDisabled	Disable GPU Acceleration	Desativar aceleração de GPU
frmInput.lblBrowserVersion	Browser Version	Versão
frmInput.cmdWBClear	Clear	Limpar
frmInput.lblWBHeight	Height	Altura
frmInput.lblWBWidth	Width	Largura
frmInput.lblWBURL	URL	URL
frmInput.lnkVCDirect	More Information	Mais informações
frmInput.chkVideoCallAdvanced	Show Advanced Options	Mostrar opções avançadas
frmInput.chkVideoCallSTUN	Allow only direct peer to peer connections	Apenas conexão direta ponto a ponto
frmInput.lnkVCLowLatency	More Information	Mais Informações
frmInput.chkVideoCallDebugLog	Enable Debug Logging	Habilitar logging de debug
frmInput.chkVideoCallLowLatency	Low Latency Mode	Modo de baixa latência
frmInput.cmdVideoCallCopyLink	Copy Link	Copiar link
frmInput.lblVideoCallName	Name	Nome
frmInput.lblReturnVideoSource	Video Source	Fonte de vídeo
frmInput.cmdVideoCallCopy	Copy	Copiar
frmInput.lblReturnAudio	Audio Source	Fonte de áudio
frmInput.cmdVideoCallConnect	Connect to Call	Conectar a uma chamada
frmInput.cmdVideoCallHost	Host a Call	Receber convidado
frmInput.cmdVideoCallGenerateKey	Reset Password	Redefinir senha
frmInput.lblReturnBandwidth	Video Bandwidth{newline}	Largura de banda do video{newline}
frmInput.lblReturnVideo	Return Feed (To Guest)	Vídeo de retorno (para convidado)
frmInput.lblKey	Password	Senha
frmInput.lblInputNumber	Number	Número
frmInput.cmdCancel	Cancel	Cancelar
frmInput.cmdStressTest	Stress Test	Teste de estresse
frmInput.cmdSignalGenerator	Signal Generator	Gerador de sinal
frmInput.tMenu.Video	Video	Vídeo
frmInput.tMenu.DVD	DVD	DVD
frmInput.tMenu.List	List	Lista
frmInput.tMenu.Camera	Camera	Câmera
frmInput.tMenu.NDI / Desktop Capture	NDI / Desktop Capture	NDI / Captura de janela
frmInput.tMenu.Stream / SRT	Stream / SRT	Stream / SRT
frmInput.tMenu.Instant Replay	Instant Replay	Instant Replay
frmInput.tMenu.Image Sequence / Stinger	Image Sequence / Stinger	Sequência / Stinger
frmInput.tMenu.Video Delay	Video Delay	Atraso de vídeo
frmInput.tMenu.Image	Image	Imagem
frmInput.tMenu.Photos	Photos	Fotos
frmInput.tMenu.PowerPoint	PowerPoint	PowerPoint
frmInput.tMenu.Colour	Colour	Cor
frmInput.tMenu.Audio	Audio	Áudio
frmInput.tMenu.Audio Input	Audio Input	Entrada de áudio
frmInput.tMenu.Title	Title	Título
frmInput.tMenu.Virtual Set	Virtual Set	Cenário virtual
frmInput.tMenu.Web Browser	Web Browser	Navegador
frmInput.tMenu.Video Call	Video Call	Video chamada
frmInputSettings.frmInputSettings	Input Settings	Configurações de entrada
frmInputSettings.cmdPositionPaste	Paste	Colar
frmInputSettings.cmdPositionCopy	Copy	Copiar
frmInputSettings.lblRadius	Radius:	Raio:
frmInputSettings.lblThickness	Thickness:	Espessura:
frmInputSettings.lblColour	Colour:	Cor:
frmInputSettings.chkEnableBorder	Border	Borda
frmInputSettings.cmdResetRotate	Reset	Reset
frmInputSettings.cmdResetZoomY	Reset	Reset
frmInputSettings.cmdResetZoomX	Reset	Reset
frmInputSettings.lblZoomY	Zoom Y:	Zoom Y:
frmInputSettings.lblRotateZ	Rotate:	Girar:
frmInputSettings.lblZoomX	Zoom X:	Zoom X:
frmInputSettings.cmdResetPanY	Reset	Reset
frmInputSettings.cmdResetPanX	Reset	Reset
frmInputSettings.cmdResetZoom	Reset	Reset
frmInputSettings.lblPanY	Pan Y:	Pan Y:
frmInputSettings.lblPanX	Pan X:	Pan X:
frmInputSettings.lblZoom	Zoom:	Zoom:
frmInputSettings.chkEnableCrop	Cropping	Recorte
frmInputSettings.lblCropX1	Crop X1:	Cortar X1:
frmInputSettings.lblCropY1	Crop Y1:	Cortar Y1:
frmInputSettings.lblCropX2	Crop X2:	Cortar X2:
frmInputSettings.lblCropY2	Crop Y2:	Cortar Y2:
frmInputSettings.cmdResetPosition	Reset All	Redefinir tudo
frmInputSettings.tabEffectProperties	Properties	Propriedades
frmInputSettings.tabEffectCrop	Crop	Recorte
frmInputSettings.lblCropX1	Crop X1:	Cortar X1:
frmInputSettings.lblCropY1	Crop Y1:	Cortar Y1:
frmInputSettings.lblCropX2	Crop X2:	Cortar X2:
frmInputSettings.lblCropY2	Crop Y2:	Cortar Y2:
frmInputSettings.cmdEffectFilename	Browse	Navegar
frmInputSettings.effectProperty1	Strength	Força
frmInputSettings.cbSat	Sat	Satur.
frmInputSettings.cbHue	Hue	Matiz
frmInputSettings.cmdCCAuto	Basic Auto Correct	Correção automática
frmInputSettings.cmdCCPresets	Presets	Perfis
frmInputSettings.cwGain	Gain	Ganho
frmInputSettings.cmdColorWheelsDisplay	Display: Colour Wheels	Exibir: Rodas de cores
frmInputSettings.cwLift	Lift	Pedestal
frmInputSettings.cwGamma	Gamma	Gama
frmInputSettings.lblInfoDeinterlacing	Deinterlacing	Desentrelaçamento
frmInputSettings.lblClickAction	Mouse Click Action	Ação de clique do mouse
frmInputSettings.cmdChange	Change	Trocar input
frmInputSettings.lblSource	Blank	Vazio
frmInputSettings.lblCategory	Category	Categoria
frmInputSettings.cmdAudioSettings	Audio Settings	Configurações de áudio
frmInputSettings.cmdCreateVirtualInput	Create Virtual Input	Criar entrada virtual
frmInputSettings.chkMirror	Mirror	Espelhar
frmInputSettings.lblName	Name	Nome
frmInputSettings.chkPlayActive	Automatically Play with Transition	Reproduzir automaticamente com a transição
frmInputSettings.lblAspectRatio	Aspect Ratio	Proporção
frmInputSettings.chkPausePreview	Automatically Pause after Transition	Pausar automaticamente com a transição
frmInputSettings.chkRestart	Automatically Restart with Transition	Reiniciar automaticamente com a transição
frmInputSettings.chkDeinterlace	Deinterlace Blend	Desentrelaçamento blend
frmInputSettings.chkAutoMixAudio	Automatically mix audio	Mixar o áudio automaticamente
frmInputSettings.chkSharpen	Sharpen	Aguçar (Sharpen)
frmInputSettings.lblInfoResolution	Resolution	Resolução
frmInputSettings.lblInfoSourceAspectRatio	Source Aspect Ratio	Proporção da fonte
frmInputSettings.lblInfoFrameRate	Frame Rate	Frame rate
frmInputSettings.lblPTZProvider	Device Type	Tipo de dispositivo
frmInputSettings.chkPTZInputThumbnail	Always show thumbnail in input preview	Sempre mostrar miniatura no preview da entrada
frmInputSettings.lblConnectionName	URL	URL
frmInputSettings.cmdPTZConnect	Connect	Conectar
frmInputSettings.chkTally	Tally	Tally
frmInputSettings.chkFocus	Focus	Foco
frmInputSettings.lblZoom	Zoom	Ampliação
frmInputSettings.lblPositionSpeed	Position Speed	velocidade posição
frmInputSettings.lblPTSpeed	Speed	Velocidade
frmInputSettings.lblPTZSupport	PTZ (Pan Tilt Zoom) camera control is available in the 4K and Pro editions of vMix. Visit www.vmix.com for more information,	Controle de câmera PTZ (Pan Tilt Zoom) está disponível nas edições 4K e Pro do vMix. Visite www.vmix.com para mais informações,
frmInputSettings.cmdExportMultiView	Export	Exportar
frmInputSettings.cmdImportMultiView	Import	Importar
frmInputSettings.cmdRemoveMultiView	Remove	Remover
frmInputSettings.cmdAddMultiView	Add	Adicionar
frmInputSettings.lblTriggerMix	Mix	Mix
frmInputSettings.cmdDeleteTrigger	Delete	Excluir
frmInputSettings.cmdEditTrigger	Edit	Editar
frmInputSettings.cmdAddTrigger	Add	Adicionar
frmInputSettings.chkRec601Fix	Rec. 601 to 709	Rec. 601 para 709
frmInputSettings.lblBlue	Blue	Azul
frmInputSettings.chkPremultipliedAlpha	Premultiplied Alpha	Alfa pré-multiplicado
frmInputSettings.lblGreen	Green	Verde
frmInputSettings.lblSaturation	Saturation	Saturação
frmInputSettings.lblRed	Red	Vermelho
frmInputSettings.lblAlpha	Alpha	Alfa
frmInputSettings.cmdAuto	Auto	Automático
frmInputSettings.cmdAutoWhiteBalance	Auto White Balance	Balanço de branco auto
frmInputSettings.cmdReset	Reset	Redefinir
frmInputSettings.lblWhiteStretch	White Stretch	Esticar branco
frmInputSettings.lblBlackStretch	Black Stretch	Esticar preto
frmInputSettings.chkColorCorrectionSource	Use Source Settings	Usar configurações da fonte
frmInputSettings.cmdClose	Close	Fechar
frmInputSettings.cmdApply	Apply	Aplicar
frmInputSettings.lblFilters	Filters	Filtros
frmInputSettings.lblDelayFrames	frames	quadros
frmInputSettings.lblDelay	Delay	Atraso
frmInputSettings.cmdProperties	Properties	Propriedades
frmInputSettings.lblOtherTallyInfo	For information on other Tally Light options, see the Tally Lights tab in Settings	Para informações sobre outras opções de Tally Light, veja a aba Tally Lights em Configurar
frmInputSettings.lblOtherTally	Other Tally Lights	Outras luzes de tally
frmInputSettings.lblArduino	Arduino Tally Lights	Luzes de tally via Arduino
frmInputSettings.lblTallyStatusLabel	Status	Status
frmInputSettings.lblComPort	COM Port	Porta COM
frmInputSettings.lblTallyNumber	Tally Number	Número do Tally
frmInputSettings.chkColorKey	Colour Key	Colour key
frmInputSettings.Label1	Auto Chroma Key Presets	Perfis automáticos de Chroma key
frmInputSettings.chkAntiAliasing	Anti Aliasing	Anti Serrilhado
frmInputSettings.chkGreenFilter	Chroma Key Filter	Filtro Chroma key
frmInputSettings.cmdResetTolerance	Reset	Redefinir
frmInputSettings.lblChromaKey	Chroma Key	Chroma key
frmInputSettings.lblRedKey	Red	Vermelho
frmInputSettings.lblBlueKey	Blue	Azul
frmInputSettings.lblGreenKey	Green	Verde
frmInputSettings.lblLumaKey	Luma Key	Luma key
frmInputSettings.lblKeyFill	Key/Fill Input	Input de Key/Fill
frmInputSettings.cmdCopy	Copy From...	Copiar de...
frmInputSettings.tMenu.General	General	Geral
frmInputSettings.tMenu.Colour Adjust	Colour Adjust	Ajuste de cor
frmInputSettings.tMenu.Colour Key	Colour Key	Colour key
frmInputSettings.tMenu.Colour Correction	Colour Correction	Correção de cores
frmInputSettings.tMenu.Effects	Effects	Efeitos
frmInputSettings.tMenu.Position	Position	Posição
frmInputSettings.tMenu.Layers / Multi View	Layers / Multi View	Camadas / MultiView
frmInputSettings.tMenu.Triggers	Triggers	Triggers
frmInputSettings.tMenu.Tally Lights	Tally Lights	Luzes de tally
frmInputSettings.tMenu.PTZ	PTZ	PTZ
frmInputSettings.tMenu.Advanced	Advanced	Avançado
frmOverlay.frmOverlay	Overlay Settings	Configurações de overlay
frmOverlay.chkDisplayUnderneath	Display underneath Overlays	Exibir overlay abaixo
frmOverlay.rFrames	Frames	Frames
frmOverlay.rMilliseconds	Milliseconds	Milissegundos
frmOverlay.rFrames	Frames	Frames
frmOverlay.rMilliseconds	Milliseconds	Milissegundos
frmOverlay.lblStingerInput	Stinger Input:	Entrada para Stinger:
frmOverlay.lblStingerMilliseconds	(0 to disable)	(0 para desativar)
frmOverlay.lblStingerCut	Stinger Cut Point:	Ponto de corte do Stinger:
frmOverlay.lblAlpha	Alpha:	Alfa:
frmOverlay.cmdCancel	Cancel	Cancelar
frmOverlay.lblMilliseconds2	(0 to disable)	(0 para desativar)
frmOverlay.lblOverlayDuration	Duration:	Duração:
frmOverlay.lblMilliseconds	Milliseconds	Milissegundos
frmOverlay.lblDuration	Effect Duration:	Duração do efeito:
frmOverlay.lblOverlayEffect	Effect:	Efeito:
frmOverlay.lblOverlayNumber	Number:	Número:
frmOverlay.lblDragTip	To adjust position, drag the red box or hold down shift to resize	Para ajustar a posição, arraste a caixa vermelha ou mantenha a tecla shift pressionada para redimensionar
frmOverlay.lblRadius	Radius:	Raio:
frmOverlay.lblThickness	Thickness:	Espessura:
frmOverlay.lblColour	Colour:	Cor:
frmOverlay.lblBorder	Border	Borda
frmOverlay.cmdResetRotate	Reset	Redefinir
frmOverlay.cmdResetZoomY	Reset	Redefinir
frmOverlay.cmdResetZoomX	Reset	Redefinir
frmOverlay.lblZoomY	Zoom Y:	Zoom Y:
frmOverlay.lblRotateZ	Rotate:	Girar:
frmOverlay.lblZoomX	Zoom X:	Zoom X:
frmOverlay.cmdResetPanY	Reset	Redefinir
frmOverlay.cmdResetPanX	Reset	Redefinir
frmOverlay.cmdResetZoom	Reset	Redefinir
frmOverlay.lblPanY	Pan Y:	Pan Y:
frmOverlay.lblPanX	Pan X:	Pan X:
frmOverlay.lblZoom	Zoom:	Zoom:
frmOverlay.lblPIPLocation	Picture In Picture Location	Localização do PIP
frmOverlay.lblOverlayType	Type:	Tipo:
frmPlaylist.frmPlaylist	PlayList	PlayList
frmPlaylist.chkManual	Manual Mode	Modo Manual
frmPlaylist.chkClearOverlay	Clear Overlays	Limpar overlays
frmPlaylist.cmdPrevious	Previous	Anterior
frmPlaylist.chkBeginSelected	Begin from selected item	Começar a partir do item selecionado
frmPlaylist.cmdNext	Next	Próximo
frmPlaylist.chkLoop	Loop	Loop
frmPlaylist.lblAvailableInputs	Available Inputs	Entradas disponíveis
frmPlaylist.lblPlayList	Playlist	Playlist
frmPlaylist.cmdCreatePlayList	New PlayList	Nova PlayList
frmPlaylist.cmdDeletePlayList	Delete PlayList	Excluir PlayList
frmPlaylist.cmdClose	Close	Fechar
frmPlaylist.cmdStartStop	Start	Iniciar
frmPlayListItem.frmPlayListItem	PlayList	PlayList
frmPlayListItem.lblDisplayType	Display Type:	Tela Tipo:
frmPlayListItem.lblVideo	Video:	Vídeo:
frmPlayListItem.lblStartingPosition	Starting Position:	Posição inicial:
frmPlayListItem.lblTransitionDuration	Transition Duration (in Milliseconds):	Duração de transição (em milissegundos):
frmPlayListItem.lblTransition	Transition:	Transição:
frmPlayListItem.Cancel_Button	Cancel	Cancelar
frmPlayListItem.lblDuration	Duration:	Duração:
frmPlayListSave.frmPlayListSave	Create PlayList	Criar PlayList
frmPlayListSave.chkCopy	Copy Current PlayList	Copie PlayList atual
frmPlayListSave.lblSavePlaylist	Select a name for the new PlayList. Each PlayList will be added to the open Preset	Escolha um nome para a nova lista. Cada lista será adicionada ao preset aberto
frmPlayListSave.cmdCancel	Cancel	Cancelar
frmRecordingInfo.frmRecordingInfo	Recording Information	Informação de gravação
frmRecordingInfo.lblSize	Size:	Tamanho:
frmRecordingInfo.gBuffer	Buffer	Amortecedor
frmRecordingInfo.lblRead	Read:	Leia-se:
frmRecordingInfo.lblWrite	Write:	Escrever:
frmRecordingInfo.gDroppedFrames	Dropped Frames	Quadros perdidos
frmRecordingInfo.lblTotalThisSession	Total This Session:	Este total da sessão:
frmRecordingInfo.lblHardDiskCpu	Due To Hard Disk/CPU:	Devido ao disco rígido / CPU:
frmRecordingInfo.lblSourceFrameRate	Due To Source Frame Rate:	Devido a Frame rate da fonte:
frmRecordingInfo.lblTotalThisRecording	Total This Recording:	Este total de gravação:
frmRecordingInfo.lblAudioDevice	Audio Device:	Dispositivo de áudio:
frmRecordingInfo.lblSystem	System:	Sistema:
frmRecordingInfo.lblCodec	Codec:	Codec:
frmRecordingInfo.lblDuration	Duration:	Duração:
frmRecordingInfo.lblFilename	Filename:	Nome do arquivo:
frmRecordingInfo.cmdClose	Close	Fechar
frmRecordingSetup.frmRecordingSetup	Recording Setup	Configuração de gravação
frmRecordingSetup.lblVMXQuality	Quality:	Qualidade:
frmRecordingSetup.lblKbps	Kbps	Kbps
frmRecordingSetup.lblAudioBitRate	Audio Bit Rate:	Taxa de bits de áudio:
frmRecordingSetup.lblMinutes	Minutes	Minutos
frmRecordingSetup.lblRestart	New File Every:	Novo arquivo:
frmRecordingSetup.lblSize	Size:	Tamanho:
frmRecordingSetup.cmdBrowse	Browse	Procurar
frmRecordingSetup.lblFilename	Filename:	Nome do arquivo:
frmRecordingSetup.lblSystem	Frame Rate:	Frame rate:
frmRecordingSetup.lblCodec	Codec:	Codec:
frmRecordingSetup.lblMilliseconds	Milliseconds	Milissegundos
frmRecordingSetup.lblAudioDelay	Audio Delay:	Atraso de áudio:
frmRecordingSetup.lblAudio	Audio:	Áudio:
frmRecordingSetup.chkFragmented	Fault Tolerant	Tolerante a falhas
frmRecordingSetup.lblMp4Format	Profile:	Perfil:
frmRecordingSetup.chkHardwareAcceleration	Use Hardware Encoder	Use Encoder Hardware
frmRecordingSetup.cmdCancel	Cancel	Cancelar
frmRecordingSetup.lblMbps	Mbps	Mbps
frmRecordingSetup.lblMPEGBitRate	Bit Rate:	Taxa de Bits:
frmRecordingSetup.lblFileFormat	File Format:	Formato:
frmRecordingSetup.lblMpegFileFormat	TS (Transport Stream) is recommended for Editing.	TS (Transport Stream) é recomendado para edição.
frmRecordingSetup.lblHttpPort	HTTP Port:	HTTP Port:
frmRecordingSetup.lblAudioCodec	Audio Codec:	Codec de áudio:
frmRecordingSetup.lblWMVCodec	Codec:	Codec:
frmRecordingSetup.lblQuality	Quality:	Qualidade:
frmRecordingSetup.lblFPS	FPS:	FPS:
frmRecordingSetup.lblBitRate	Bit Rate:	Taxa de bits:
frmRecordingSetup.lblFFMPEGABitrate	Audio Quality:	Qualidade áudio:
frmRecordingSetup.lblFFMPEGVBitrate	Video Quality:	Qualidade vídeo:
frmRecordingSetup.lblFFMPEGExt	Format:	Formato:
frmRecordingSetup.lblFFMPEGFormat	Codec:	Codec:
frmRecordingSetup.cmdAudioRecording	WAV File Record	Gravar WAV
frmRecordingSetup.tMenu.AVI	AVI	AVI
frmRecordingSetup.tMenu.MPEG-2	MPEG-2	MPEG-2
frmRecordingSetup.tMenu.WMV	WMV	WMV
frmRecordingSetup.tMenu.WMV Streaming	WMV Streaming	WMV Streaming
frmRecordingSetup.tMenu.FFMPEG	FFMPEG	FFMPEG
frmRecordingSetup.tMenu.vMix AVI	vMix AVI	vMix AVI
